Times (s),Voltage (V),,Times (s),L*-2*ln|Vmax/V0|,errors,,f (Hz),A (V),,f (kHz),phase shift (degrees),error
3.00E-06,4.15E-01,,3.00E-06,,,,7.56E+03,3.20E-01,,7.56E+03,1.62E+02,5.00E+00
7.60E-05,3.61E-01,,7.60E-05,2.35E-01,2.54E-01,,7.06E+03,1.00E+00,,7.06E+03,1.54E+02,1.00E+00
1.55E-04,3.35E-01,,1.55E-04,3.61E-01,2.66E-01,,6.96E+03,1.24E+00,,6.96E+03,1.50E+02,1.00E+00
2.27E-04,3.05E-01,,2.27E-04,5.20E-01,2.82E-01,,6.86E+03,1.64E+00,,6.86E+03,1.44E+02,1.00E+00
3.05E-04,2.79E-01,,3.05E-04,6.70E-01,2.99E-01,,6.76E+03,2.20E+00,,6.76E+03,1.33E+02,1.00E+00
3.81E-04,2.65E-01,,3.81E-04,7.57E-01,3.10E-01,,6.66E+03,2.96E+00,,6.66E+03,1.16E+02,1.00E+00
4.51E-04,2.31E-01,,4.51E-04,9.89E-01,3.43E-01,,6.56E+03,3.60E+00,,6.56E+03,9.00E+01,1.00E+00
5.30E-04,2.17E-01,,5.30E-04,1.09E+00,3.60E-01,,6.46E+03,3.40E+00,,6.46E+03,6.00E+01,1.00E+00
6.01E-04,1.91E-01,,6.01E-04,1.31E+00,3.99E-01,,6.36E+03,2.80E+00,,6.36E+03,4.00E+01,1.00E+00
6.83E-04,1.85E-01,,6.83E-04,1.36E+00,4.10E-01,,6.26E+03,2.28E+00,,6.26E+03,3.00E+01,1.00E+00
7.57E-04,1.67E-01,,7.57E-04,1.54E+00,4.47E-01,,6.16E+03,1.92E+00,,6.16E+03,2.20E+01,1.00E+00
8.30E-04,1.53E-01,,8.30E-04,1.68E+00,4.82E-01,,6.06E+03,1.68E+00,,6.06E+03,1.60E+01,1.00E+00
9.04E-04,1.35E-01,,9.04E-04,1.90E+00,5.39E-01,,5.56E+03,1.02E+00,,5.56E+03,8.00E+00,1.00E+00
9.80E-04,1.29E-01,,9.80E-04,1.97E+00,5.62E-01,,,,,,,
1.06E-03,1.19E-01,,1.06E-03,2.11E+00,6.05E-01,,,,,,,
1.13E-03,1.05E-01,,1.13E-03,2.32E+00,6.80E-01,,,,,,,
1.21E-03,1.03E-01,,1.21E-03,2.35E+00,6.92E-01,,,,,,,
1.28E-03,8.90E-02,,1.28E-03,2.60E+00,7.95E-01,,,,,,,
1.35E-03,7.90E-02,,1.35E-03,2.80E+00,8.92E-01,,,,,,,
1.45E-03,8.10E-02,,1.45E-03,2.76E+00,8.71E-01,,,,,,,
1.51E-03,7.10E-02,,1.51E-03,2.98E+00,9.89E-01,,,,,,,
1.58E-03,6.50E-02,,1.58E-03,3.13E+00,1.08E+00,,,,,,,
1.67E-03,6.30E-02,,1.67E-03,3.18E+00,1.11E+00,,,,,,,
1.74E-03,5.70E-02,,1.74E-03,3.35E+00,1.23E+00,,,,,,,
1.81E-03,4.70E-02,,1.81E-03,3.68E+00,1.48E+00,,,,,,,
